scenario,geometry,run_id,beta_hat,deltaBIC_dbu_vs_null,deltaBIC_dbu_vs_nuis,eps_eff,phys_scale,temporal_tau
MZI_null,MZI,MZI_null_00001,-0.2644560233044101,-1.027748091815615,-2.1552468412489496,0.0,0.0,300
MZI_null,MZI,MZI_null_00002,-0.1015383000458938,-0.16497113347739623,2.092998567487853,0.0,0.0,300
MZI_null,MZI,MZI_null_00003,0.13969201786742977,-4.5176525696679155,-1.9276371275536437,0.0,0.0,300
MZI_null,MZI,MZI_null_00004,0.049689514710534594,0.9266353813670776,-2.43752271353587,0.0,0.0,300
MZI_null,MZI,MZI_null_00005,-0.027848846499572567,-5.319004922018085,-4.588619872242012,0.0,0.0,300
MZI_null,MZI,MZI_null_00006,0.1218788733591297,2.068720085712469,-1.2160303647410016,0.0,0.0,300
MZI_null,MZI,MZI_null_00007,0.15052993468380363,-0.9150919248570974,-2.9353592638153727,0.0,0.0,300
MZI_null,MZI,MZI_null_00008,0.05420934082626209,2.6141096993979076,-1.1074781173298547,0.0,0.0,300
MZI_null,MZI,MZI_null_00009,0.2346965483721009,-9.859235312269233,1.4657075131256714,0.0,0.0,300
MZI_null,MZI,MZI_null_00010,0.013057060235725683,-2.8970220513976024,-0.7247176703934931,0.0,0.0,300
MZI_null,MZI,MZI_null_00011,-0.2981353371901339,-2.6590156635125357,0.07133771453523918,0.0,0.0,300
MZI_null,MZI,MZI_null_00012,0.2216841067112274,-3.554810654820942,-3.4254808086795627,0.0,0.0,300
MZI_null,MZI,MZI_null_00013,-0.07526355653768048,0.7462063531062224,-0.013746671020946621,0.0,0.0,300
MZI_null,MZI,MZI_null_00014,-0.07946403056505581,-0.4601977006599318,-0.7087673519558788,0.0,0.0,300
MZI_null,MZI,MZI_null_00015,0.14529674857993338,-4.106159281632057,-1.9829864397933046,0.0,0.0,300
MZI_null,MZI,MZI_null_00016,-0.05881622296982364,-6.390544844396356,-0.1116391688062719,0.0,0.0,300
MZI_null,MZI,MZI_null_00017,0.0391582908269834,-1.9846596300726174,-1.7037614001254409,0.0,0.0,300
MZI_null,MZI,MZI_null_00018,-0.21230561130756212,-3.2619359682960773,-2.0281435495803084,0.0,0.0,300
