time_s,eps_hat,V_eff
0,2.9385593425976595e-06,0.9277900095305428
1,-1.3288988793983091e-06,0.9445225291950538
2,-3.1975972443117016e-06,0.9211519751503583
3,1.2823975357355692e-06,0.9335104614315125
4,-1.4668733645989783e-07,0.9453597080961881
5,6.036251298852253e-07,0.9538939255741059
6,2.252613200424052e-06,0.9346458886461056
7,4.1446556302326654e-07,0.9470066389900531
8,-7.885742493555484e-07,0.940722033902651
9,4.472778859768887e-08,0.9519959182348641
10,-2.029733384027617e-07,0.9437859419561351
11,1.5679263427590609e-06,0.9340531517380503
12,-1.9269822106679467e-07,0.9438397971337263
13,-1.9317217046781287e-07,0.9521413509298153
14,1.60211423881632e-06,0.9302029719859546
15,-2.1635111534517415e-07,0.942099822336363
16,3.007920769144827e-07,0.9476068504946001
17,-4.787481092605504e-07,0.9561490867078286
18,1.9334475164197654e-06,0.9305046471197923
19,1.0687902508170599e-06,0.9323550746040791
20,-9.92347415568736e-07,0.9466909864164117
21,3.556979229887053e-06,0.903353250552029
22,1.687476189180842e-06,0.9400334306217545
23,3.839383123260109e-07,0.9537573345302339
24,2.1642832318922794e-06,0.9306117186784353
25,5.399045182318001e-07,0.9450615044310927
26,2.1451097310425855e-07,0.9493371760848377
27,1.3385461973940316e-06,0.9344430998155355
28,-2.1925088563195585e-06,0.9270999709550027
29,-7.009804038490268e-07,0.9373858346210964
30,-1.746196640735079e-07,0.9523882152487991
31,-8.505462585284865e-07,0.9370574763340431
32,2.0675693558249413e-06,0.9254960729909892
33,-8.762102222717005e-07,0.9452820799250511
34,7.253901987917404e-07,0.9430727976506516
35,5.73922804770493e-07,0.9463773150055231
36,2.0336359929842138e-06,0.9290487071980924
37,-1.4713851195475838e-06,0.9367735557021925
38,3.876939659397937e-07,0.9504094842257943
39,-5.040828398655094e-07,0.9433871983246408
40,-1.4450603866516866e-06,0.939465173835524
41,2.90055343426101e-06,0.9185544768784666
42,6.221852927229701e-07,0.939729751346603
43,-2.111117729468344e-07,0.9513566858061935
44,1.2459830228666297e-07,0.9511297666664672
45,9.094659691169014e-07,0.944658151904793
