scenario,M,Lc,lambda,d,kappa,chi_geom,chi_distance,x_argument,eps_theory,eps_measured,eps_noisy,passes_scaling
"M=0.75,Lc=0.3,λ=5.32e-07,d=0.2",0.75,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,3.216010594094967e-06,2.240819664978794e-06,1.9854113647139952e-06,True
"M=0.75,Lc=0.3,λ=5.32e-07,d=0.25",0.75,0.3,5.32e-07,0.25,1.5518527311188417e-11,0.49,0.5375080569243935,0.8333333333333334,3.216010594094967e-06,1.7286316054802501e-06,1.6533486308329158e-06,True
"M=0.75,Lc=0.3,λ=5.32e-07,d=0.3",0.75,0.3,5.32e-07,0.3,1.5518527311188417e-11,0.49,0.42102443824070834,1.0,3.216010594094967e-06,1.3540190537550001e-06,1.3660343577517207e-06,True
"M=0.75,Lc=0.3,λ=5.32e-07,d=0.4",0.75,0.3,5.32e-07,0.4,1.5518527311188417e-11,0.49,0.2661369635941187,1.3333333333333335,3.216010594094967e-06,8.558992943989523e-07,7.770885271370743e-07,True
"M=0.75,Lc=0.3,λ=5.32e-07,d=0.5",0.75,0.3,5.32e-07,0.5,1.5518527311188417e-11,0.49,0.1726382606767304,1.6666666666666667,3.216010594094967e-06,5.552064752824935e-07,5.718936730853989e-07,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.1",1.0,0.3,5.32e-07,0.1,1.5518527311188417e-11,0.49,1.2765843668935803,0.33333333333333337,4.288014125459957e-06,5.474011797581029e-06,5.210979535605097e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.15",1.0,0.3,5.32e-07,0.15,1.5518527311188417e-11,0.49,0.9244190712276656,0.5,4.288014125459957e-06,3.963922035268805e-06,3.871421932680345e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.2",1.0,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,4.288014125459957e-06,2.987759553305059e-06,2.843939178987043e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.25",1.0,0.3,5.32e-07,0.25,1.5518527311188417e-11,0.49,0.5375080569243935,0.8333333333333334,4.288014125459957e-06,2.3048421406403344e-06,2.646378845907932e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.3",1.0,0.3,5.32e-07,0.3,1.5518527311188417e-11,0.49,0.42102443824070834,1.0,4.288014125459957e-06,1.8053587383400009e-06,1.8034093517300834e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.4",1.0,0.3,5.32e-07,0.4,1.5518527311188417e-11,0.49,0.2661369635941187,1.3333333333333335,4.288014125459957e-06,1.1411990591986034e-06,1.0446343618363192e-06,True
"M=1.0,Lc=0.3,λ=5.32e-07,d=0.5",1.0,0.3,5.32e-07,0.5,1.5518527311188417e-11,0.49,0.1726382606767304,1.6666666666666667,4.288014125459957e-06,7.402753003766583e-07,7.889880749270968e-07,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.1",1.5,0.3,5.32e-07,0.1,1.5518527311188417e-11,0.49,1.2765843668935803,0.33333333333333337,6.432021188189934e-06,8.211017696371542e-06,7.409068191218351e-06,True
